trialid,first_seen
ChiCTR2000030088,08/03/2020
ChiCTR2000030087,18/03/2020
ChiCTR2000030058,08/03/2020
ChiCTR2000030056,08/03/2020
ChiCTR2000029994,08/03/2020
ChiCTR2000029978,08/03/2020
ChiCTR2000029982,08/03/2020
ChiCTR2000029580,08/03/2020
ChiCTR2000030033,08/03/2020
ChiCTR2000030017,08/03/2020
ChiCTR2000030086,08/03/2020
ChiCTR2000030054,08/03/2020
ChiCTR2000029960,08/03/2020
ChiCTR2000029959,08/03/2020
ChiCTR2000030015,08/03/2020
ChiCTR2000030008,08/03/2020
ChiCTR2000030039,08/03/2020
ChiCTR2000030021,08/03/2020
ChiCTR2000029866,08/03/2020
ChiCTR2000029865,08/03/2020
ChiCTR2000030006,08/03/2020
ChiCTR2000030001,08/03/2020
ChiCTR2000030020,08/03/2020
ChiCTR2000030019,08/03/2020
ChiCTR2000029851,08/03/2020
NCT04252664,08/03/2020
NCT04255017,08/03/2020
ChiCTR2000029992,08/03/2020
ChiCTR2000030003,08/03/2020
NCT04273321,08/03/2020
NCT04273529,08/03/2020
ChiCTR2000030002,08/03/2020
ChiCTR2000029989,08/03/2020
ChiCTR2000029981,08/03/2020
NCT04273581,08/03/2020
ChiCTR2000029988,08/03/2020
NCT04261270,08/03/2020
NCT04285801,08/03/2020
NCT04288713,18/03/2020
ChiCTR2000029974,08/03/2020
ChiCTR2000029955,18/03/2020
ChiCTR2000029972,08/03/2020
ChiCTR2000029954,18/03/2020
ChiCTR2000029803,08/03/2020
ChiCTR2000029780,18/03/2020
NCT04295551,08/03/2020
NCT04272710,08/03/2020
ChiCTR2000030433,08/03/2020
ChiCTR2000030418,08/03/2020
ChiCTR2000030424,18/03/2020
ChiCTR2000030391,08/03/2020
ChiCTR2000030334,08/03/2020
NCT04257656,18/03/2020
NCT04275245,18/03/2020
NCT04279197,08/03/2020
ChiCTR2000030327,18/03/2020
ChiCTR2000030325,08/03/2020
NCT04280588,08/03/2020
ChiCTR2000030432,08/03/2020
ChiCTR2000030333,18/03/2020
ChiCTR2000030317,08/03/2020
ChiCTR2000030324,08/03/2020
ChiCTR2000030293,08/03/2020
ChiCTR2000030315,08/03/2020
ChiCTR2000030300,08/03/2020
ChiCTR2000030398,08/03/2020
ChiCTR2000030389,18/03/2020
ChiCTR2000030290,08/03/2020
ChiCTR2000030259,18/03/2020
ChiCTR2000030283,18/03/2020
ChiCTR2000030265,08/03/2020
ChiCTR2000030387,18/03/2020
ChiCTR2000030330,08/03/2020
ChiCTR2000030258,18/03/2020
ChiCTR2000030257,18/03/2020
ChiCTR2000030264,18/03/2020
ChiCTR2000030215,18/03/2020
ChiCTR2000030328,08/03/2020
ChiCTR2000030288,18/03/2020
ChiCTR2000030198,08/03/2020
ChiCTR2000030196,08/03/2020
ChiCTR2000030226,18/03/2020
ChiCTR2000030225,08/03/2020
ChiCTR2000030261,08/03/2020
ChiCTR2000030022,08/03/2020
ChiCTR2000030013,18/03/2020
ChiCTR2000030224,08/03/2020
ChiCTR2000030254,18/03/2020
ChiCTR2000029991,18/03/2020
ChiCTR2000029755,18/03/2020
ChiCTR2000029899,18/03/2020
ChiCTR2000030218,08/03/2020
ChiCTR2000029728,08/03/2020
ChiCTR2000029496,18/03/2020
ChiCTR2000029898,18/03/2020
ChiCTR2000029900,08/03/2020
ChiCTR2000029759,08/03/2020
ChiCTR2000029386,08/03/2020
ChiCTR2000029387,08/03/2020
ChiCTR2000030552,08/03/2020
ChiCTR2000030535,08/03/2020
ChiCTR2000030522,08/03/2020
ChiCTR2000030519,08/03/2020
ChiCTR2000030503,08/03/2020
NCT04273763,08/03/2020
ChiCTR2000030487,18/03/2020
ChiCTR2000030485,18/03/2020
ChiCTR2000030593,08/03/2020
ChiCTR2000030559,08/03/2020
ChiCTR2000030472,08/03/2020
ChiCTR2000030471,08/03/2020
ChiCTR2000030557,08/03/2020
ChiCTR2000030543,08/03/2020
ChiCTR2000030469,18/03/2020
ChiCTR2000030468,18/03/2020
ChiCTR2000030541,08/03/2020
ChiCTR2000030539,08/03/2020
ChiCTR2000030453,08/03/2020
ChiCTR2000030627,08/03/2020
ChiCTR2000030518,08/03/2020
ChiCTR2000030491,08/03/2020
ChiCTR2000030545,18/03/2020
ChiCTR2000030304,18/03/2020
ChiCTR2000030256,08/03/2020
ChiCTR2000030579,08/03/2020
ChiCTR2000030578,08/03/2020
ChiCTR2000030388,08/03/2020
ChiCTR2000030489,18/03/2020
ChiCTR2000029549,08/03/2020
ChiCTR2000030564,08/03/2020
ChiCTR2000030544,08/03/2020
ChiCTR2000030482,18/03/2020
ChiCTR2000030475,18/03/2020
ChiCTR2000029479,08/03/2020
NCT04252274,18/03/2020
ChiCTR2000030494,08/03/2020
ChiCTR2000030464,08/03/2020
ChiCTR2000030163,08/03/2020
ChiCTR2000030480,18/03/2020
ChiCTR2000030479,18/03/2020
ChiCTR2000029993,08/03/2020
ChiCTR2000029638,08/03/2020
NCT04254874,08/03/2020
NCT04278963,08/03/2020
ChiCTR2000030477,18/03/2020
ChiCTR2000030436,18/03/2020
ChiCTR2000029579,08/03/2020
ChiCTR2000029433,08/03/2020
ChiCTR2000029958,18/03/2020
ChiCTR2000029757,18/03/2020
ChiCTR2000029308,08/03/2020
NCT04263402,08/03/2020
NCT04261517,08/03/2020
NCT04264533,18/03/2020
NCT04283461,18/03/2020
NCT04288102,08/03/2020
ChiCTR2000030580,18/03/2020
ChiCTR2000030187,18/03/2020
ChiCTR2000030597,08/03/2020
ChiCTR2000030528,08/03/2020
ChiCTR2000030476,18/03/2020
ChiCTR2000029770,18/03/2020
ChiCTR2000030619,08/03/2020
ChiCTR2000030055,08/03/2020
ChiCTR2000030005,18/03/2020
ChiCTR2000029592,08/03/2020
ChiCTR2000029573,18/03/2020
,18/03/2020
,18/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,18/03/2020
,18/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,18/03/2020
,18/03/2020
,08/03/2020
,08/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,18/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,18/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,18/03/2020
,18/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,18/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,18/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,18/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,08/03/2020
,08/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,08/03/2020
,08/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,08/03/2020
,08/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,08/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,08/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,08/03/2020
,08/03/2020
,18/03/2020
,18/03/2020
,08/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,18/03/2020
,08/03/2020
,18/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
,08/03/2020
