unique_spon_names,normed_spon_names
"1. Xinhua Affiliated Hospital, Hubei University of Chinese Medicine; 2. Hubei Provincial Hospital of Integrated Chinese and Western Medicine","Xinhua Affiliated Hospital, Hubei University of Chinese Medicine; Hubei Provincial Hospital of Integrated Chinese and Western Medicine"
"Tasly Pharmaceuticals, Inc.","Tasly Pharmaceuticals, Inc."
Shanghai Pulmonary Hospital,Shanghai Pulmonary Hospital
Deyang Integrated Traditional Chinese and Western Medicine Hospital,Deyang Integrated Traditional Chinese and Western Medicine Hospital
Shandong Provincial Chest Hospital,Shandong Provincial Chest hospital
Li Lanjuan,Li Lanjuan
"The First Affiliated Hospital, College of Medicine of Zhejiang University",The First Affiliated Hospital of Zhengzhou University
Xinxiang medical university,Xinxiang medical university
No Sponsor Name Given,No Sponsor Name Given
"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",Shanghai General Hospital of Shanghai Jiaotong University
Cangzhou People's Hospital,Cangzhou People's Hospital
The Fourth Affiliated Hospital of Harbin Medical University,The Fourth Affiliated Hospital of Harbin Medical University
The First Affiliated of Wenzhou Medical University,The First Affiliated of Wenzhou Medical University
"Tongji hospital, Tongji medical College, Huazhong University of Science and Technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
Xiamen University,Xiamen University
Hubei Cancer Hospital,Hubei Cancer Hospital
Jean Liu,Jean Liu
